tweet_id,favorites,retweets,timestamp
892420643555336193,36370,7740,Tue Aug 01 16:23:56 +0000 2017
892177421306343426,31322,5730,Tue Aug 01 00:17:27 +0000 2017
891815181378084864,23595,3790,Mon Jul 31 00:18:03 +0000 2017
891689557279858688,39655,7894,Sun Jul 30 15:58:51 +0000 2017
891327558926688256,37849,8525,Sat Jul 29 16:00:24 +0000 2017
891087950875897856,19062,2849,Sat Jul 29 00:08:17 +0000 2017
890971913173991426,11105,1859,Fri Jul 28 16:27:12 +0000 2017
890729181411237888,61257,17267,Fri Jul 28 00:22:40 +0000 2017
890609185150312448,26252,3934,Thu Jul 27 16:25:51 +0000 2017
890240255349198849,29972,6730,Wed Jul 26 15:59:51 +0000 2017
890006608113172480,28878,6723,Wed Jul 26 00:31:25 +0000 2017
889880896479866881,26237,4569,Tue Jul 25 16:11:53 +0000 2017
889665388333682689,45204,9163,Tue Jul 25 01:55:32 +0000 2017
889638837579907072,25439,4115,Tue Jul 25 00:10:02 +0000 2017
889531135344209921,14232,2063,Mon Jul 24 17:02:04 +0000 2017
889278841981685760,23699,4883,Mon Jul 24 00:19:32 +0000 2017
888917238123831296,27394,4123,Sun Jul 23 00:22:39 +0000 2017
888804989199671297,24061,3889,Sat Jul 22 16:56:37 +0000 2017
888554962724278272,18597,3190,Sat Jul 22 00:23:06 +0000 2017
888078434458587136,20490,3171,Thu Jul 20 16:49:33 +0000 2017
887705289381826560,28451,4932,Wed Jul 19 16:06:48 +0000 2017
887517139158093824,43644,10784,Wed Jul 19 03:39:09 +0000 2017
887473957103951883,64714,16495,Wed Jul 19 00:47:34 +0000 2017
887343217045368832,31662,9587,Tue Jul 18 16:08:03 +0000 2017
887101392804085760,28818,5457,Tue Jul 18 00:07:08 +0000 2017
886983233522544640,32910,7024,Mon Jul 17 16:17:36 +0000 2017
886736880519319552,11286,2948,Sun Jul 16 23:58:41 +0000 2017
886680336477933568,21146,4090,Sun Jul 16 20:14:00 +0000 2017
886366144734445568,19917,2900,Sat Jul 15 23:25:31 +0000 2017
886267009285017600,113,4,Sat Jul 15 16:51:35 +0000 2017
886258384151887873,26345,5781,Sat Jul 15 16:17:19 +0000 2017
886054160059072513,0,100,Sat Jul 15 02:45:48 +0000 2017
885984800019947520,30647,6157,Fri Jul 14 22:10:11 +0000 2017
885528943205470208,33848,5854,Thu Jul 13 15:58:47 +0000 2017
885518971528720385,19281,3416,Thu Jul 13 15:19:09 +0000 2017
885311592912609280,0,16975,Thu Jul 13 01:35:06 +0000 2017
885167619883638784,20613,4009,Wed Jul 12 16:03:00 +0000 2017
884925521741709313,72595,16599,Wed Jul 12 00:01:00 +0000 2017
884876753390489601,26200,5117,Tue Jul 11 20:47:12 +0000 2017
884562892145688576,22872,4304,Tue Jul 11 00:00:02 +0000 2017
884441805382717440,25488,5215,Mon Jul 10 15:58:53 +0000 2017
884247878851493888,68363,18636,Mon Jul 10 03:08:17 +0000 2017
884162670584377345,19215,2742,Sun Jul 09 21:29:42 +0000 2017
883838122936631299,20570,3151,Sun Jul 09 00:00:04 +0000 2017
883482846933004288,43140,9051,Sat Jul 08 00:28:19 +0000 2017
883360690899218434,21350,3393,Fri Jul 07 16:22:55 +0000 2017
883117836046086144,34921,6085,Fri Jul 07 00:17:54 +0000 2017
882992080364220416,22489,3568,Thu Jul 06 15:58:11 +0000 2017
882762694511734784,26620,4482,Thu Jul 06 00:46:41 +0000 2017
882627270321602560,26349,5575,Wed Jul 05 15:48:34 +0000 2017
882268110199369728,42211,10609,Tue Jul 04 16:01:23 +0000 2017
882045870035918850,27611,4486,Tue Jul 04 01:18:17 +0000 2017
881906580714921986,22908,3116,Mon Jul 03 16:04:48 +0000 2017
881666595344535552,47669,9790,Mon Jul 03 00:11:11 +0000 2017
881633300179243008,120,7,Sun Jul 02 21:58:53 +0000 2017
881536004380872706,46544,14643,Sun Jul 02 15:32:16 +0000 2017
881268444196462592,21879,4827,Sat Jul 01 21:49:04 +0000 2017
880935762899988482,16074,2554,Fri Jun 30 23:47:07 +0000 2017
880872448815771648,20035,3512,Fri Jun 30 19:35:32 +0000 2017
880465832366813184,26834,5707,Thu Jun 29 16:39:47 +0000 2017
880221127280381952,25409,3818,Thu Jun 29 00:27:25 +0000 2017
880095782870896641,26019,3983,Wed Jun 28 16:09:20 +0000 2017
879862464715927552,21064,3210,Wed Jun 28 00:42:13 +0000 2017
879674319642796034,297,10,Tue Jun 27 12:14:36 +0000 2017
879492040517615616,22117,2925,Tue Jun 27 00:10:17 +0000 2017
879415818425184262,99635,40729,Mon Jun 26 19:07:24 +0000 2017
879376492567855104,15841,2867,Mon Jun 26 16:31:08 +0000 2017
879130579576475649,0,6243,Mon Jun 26 00:13:58 +0000 2017
879050749262655488,21245,4305,Sun Jun 25 18:56:45 +0000 2017
879008229531029506,17889,2467,Sun Jun 25 16:07:47 +0000 2017
878776093423087618,18258,3754,Sun Jun 25 00:45:22 +0000 2017
878604707211726852,28410,6536,Sat Jun 24 13:24:20 +0000 2017
878404777348136964,0,1183,Sat Jun 24 00:09:53 +0000 2017
878316110768087041,0,6123,Fri Jun 23 18:17:33 +0000 2017
878281511006478336,7295,1183,Fri Jun 23 16:00:04 +0000 2017
878057613040115712,39698,6243,Fri Jun 23 01:10:23 +0000 2017
877736472329191424,74744,17420,Thu Jun 22 03:54:17 +0000 2017
877611172832227328,0,73,Wed Jun 21 19:36:23 +0000 2017
877556246731214848,21424,3498,Wed Jun 21 15:58:08 +0000 2017
877316821321428993,25841,4777,Wed Jun 21 00:06:44 +0000 2017
877201837425926144,25572,5135,Tue Jun 20 16:29:50 +0000 2017
876838120628539392,19513,3065,Mon Jun 19 16:24:33 +0000 2017
876537666061221889,22296,4311,Sun Jun 18 20:30:39 +0000 2017
876484053909872640,17723,2183,Sun Jun 18 16:57:37 +0000 2017
876120275196170240,26416,4300,Sat Jun 17 16:52:05 +0000 2017
875747767867523072,23749,3931,Fri Jun 16 16:11:53 +0000 2017
875144289856114688,20681,4522,Thu Jun 15 00:13:52 +0000 2017
875097192612077568,25919,5600,Wed Jun 14 21:06:43 +0000 2017
875021211251597312,24066,4352,Wed Jun 14 16:04:48 +0000 2017
874680097055178752,26270,4270,Tue Jun 13 17:29:20 +0000 2017
874434818259525634,0,13401,Tue Jun 13 01:14:41 +0000 2017
874296783580663808,24623,3787,Mon Jun 12 16:06:11 +0000 2017
874057562936811520,21471,3670,Mon Jun 12 00:15:36 +0000 2017
874012996292530176,32432,9475,Sun Jun 11 21:18:31 +0000 2017
873580283840344065,22899,3628,Sat Jun 10 16:39:04 +0000 2017
873337748698140672,0,1475,Sat Jun 10 00:35:19 +0000 2017
873213775632977920,6782,1475,Fri Jun 09 16:22:42 +0000 2017
872967104147763200,25834,5017,Fri Jun 09 00:02:31 +0000 2017
872820683541237760,13956,3441,Thu Jun 08 14:20:41 +0000 2017
872620804844003328,19619,3377,Thu Jun 08 01:06:27 +0000 2017
872486979161796608,38602,8363,Wed Jun 07 16:14:40 +0000 2017
872122724285648897,32543,7499,Tue Jun 06 16:07:15 +0000 2017
871879754684805121,35655,10207,Tue Jun 06 00:01:46 +0000 2017
871762521631449091,19184,3237,Mon Jun 05 16:15:56 +0000 2017
871515927908634625,19135,3228,Sun Jun 04 23:56:03 +0000 2017
871166179821445120,0,5299,Sun Jun 04 00:46:17 +0000 2017
871102520638267392,19851,5123,Sat Jun 03 20:33:19 +0000 2017
871032628920680449,21590,3555,Sat Jun 03 15:55:36 +0000 2017
870804317367881728,31937,5750,Sat Jun 03 00:48:22 +0000 2017
870726314365509632,116,3,Fri Jun 02 19:38:25 +0000 2017
870656317836468226,11754,2459,Fri Jun 02 15:00:16 +0000 2017
870374049280663552,78832,24632,Thu Jun 01 20:18:38 +0000 2017
870308999962521604,20837,3867,Thu Jun 01 16:00:09 +0000 2017
870063196459192321,34734,7748,Wed May 31 23:43:25 +0000 2017
869772420881756160,40442,9417,Wed May 31 04:27:59 +0000 2017
869702957897576449,26891,5882,Tue May 30 23:51:58 +0000 2017
869596645499047938,15210,2913,Tue May 30 16:49:31 +0000 2017
869227993411051520,19444,3534,Mon May 29 16:24:37 +0000 2017
868880397819494401,62349,13486,Sun May 28 17:23:24 +0000 2017
868639477480148993,0,1941,Sun May 28 01:26:04 +0000 2017
868622495443632128,25441,4960,Sun May 28 00:18:35 +0000 2017
868552278524837888,9613,1941,Sat May 27 19:39:34 +0000 2017
867900495410671616,23093,3914,Fri May 26 00:29:37 +0000 2017
867774946302451713,32422,6887,Thu May 25 16:10:44 +0000 2017
867421006826221569,15358,2334,Wed May 24 16:44:18 +0000 2017
867072653475098625,0,112,Tue May 23 17:40:04 +0000 2017
867051520902168576,30784,7392,Tue May 23 16:16:06 +0000 2017
866720684873056260,19154,4500,Mon May 22 18:21:28 +0000 2017
866686824827068416,18443,3274,Mon May 22 16:06:55 +0000 2017
866450705531457537,116870,33113,Mon May 22 00:28:40 +0000 2017
866334964761202691,50137,13401,Sun May 21 16:48:45 +0000 2017
866094527597207552,0,7886,Sun May 21 00:53:21 +0000 2017
865718153858494464,24558,5291,Fri May 19 23:57:46 +0000 2017
865359393868664832,25364,4713,Fri May 19 00:12:11 +0000 2017
865006731092295680,26833,7251,Thu May 18 00:50:50 +0000 2017
864873206498414592,30936,8194,Wed May 17 16:00:15 +0000 2017
864279568663928832,13984,2848,Tue May 16 00:41:21 +0000 2017
864197398364647424,28781,8355,Mon May 15 19:14:50 +0000 2017
863907417377173506,19758,3911,Mon May 15 00:02:33 +0000 2017
863553081350529029,14649,3959,Sun May 14 00:34:33 +0000 2017
863471782782697472,0,2299,Sat May 13 19:11:30 +0000 2017
863432100342583297,22857,4959,Sat May 13 16:33:49 +0000 2017
863427515083354112,2127,91,Sat May 13 16:15:35 +0000 2017
863079547188785154,8444,1050,Fri May 12 17:12:53 +0000 2017
863062471531167744,8126,2299,Fri May 12 16:05:02 +0000 2017
862831371563274240,18448,4872,Fri May 12 00:46:44 +0000 2017
862722525377298433,16429,3347,Thu May 11 17:34:13 +0000 2017
862457590147678208,19669,4675,Thu May 11 00:01:27 +0000 2017
862096992088072192,71406,21955,Wed May 10 00:08:34 +0000 2017
861383897657036800,34744,10166,Mon May 08 00:54:59 +0000 2017
861288531465048066,16530,3926,Sun May 07 18:36:02 +0000 2017
861005113778896900,16083,3627,Sat May 06 23:49:50 +0000 2017
860981674716409858,0,2043,Sat May 06 22:16:42 +0000 2017
860924035999428608,0,762,Sat May 06 18:27:40 +0000 2017
860563773140209665,7220,2043,Fri May 05 18:36:06 +0000 2017
860524505164394496,22783,5054,Fri May 05 16:00:04 +0000 2017
860276583193509888,17716,3335,Thu May 04 23:34:55 +0000 2017
860184849394610176,16095,5566,Thu May 04 17:30:24 +0000 2017
860177593139703809,0,29467,Thu May 04 17:01:34 +0000 2017
859924526012018688,18906,3908,Thu May 04 00:15:58 +0000 2017
859851578198683649,14894,3345,Wed May 03 19:26:06 +0000 2017
859607811541651456,17982,1489,Wed May 03 03:17:27 +0000 2017
859196978902773760,86752,28779,Tue May 02 00:04:57 +0000 2017
859074603037188101,32704,13020,Mon May 01 15:58:40 +0000 2017
858860390427611136,0,7765,Mon May 01 01:47:28 +0000 2017
858843525470990336,15080,3335,Mon May 01 00:40:27 +0000 2017
